avatar,fullname,id,images/0,images/1,images/2,images/3,isQuote,isRetweet,likes,links/0,links/1,links/2,links/3,links/4,links/5,links/6,links/7,links/8,links/9,links/10,links/11,links/12,links/13,links/14,links/15,links/16,quotedTweet/avatar,quotedTweet/fullname,quotedTweet/images/0,quotedTweet/links/0,quotedTweet/links/1,quotedTweet/links/2,quotedTweet/links/3,quotedTweet/text,quotedTweet/timestamp,quotedTweet/url,quotedTweet/username,quotes,replies,retweets,searchQuery,text,timestamp,url,user/avatar,user/description,user/joinDate,user/location,user/totalFollowers,user/totalFollowing,user/totalLikes,user/totalTweets,user/url,user/userFullName,user/username,user/verified,user/website,username,verified
,,1476938287549976585,,,,,False,False,0,https://twitter.com/search?q=%23PhD,https://twitter.com/search?q=%23tripurauniversity,https://twitter.com/search?q=%23nerist,https://www.instagram.com/p/CYJvoXxJggx/?utm_medium=twitter,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,phd,two pod viva last two weeks 2021 congratulations tamojay deb pod tripurauniversity johanna base pod eye exist,2021-12-31T15:28:00.000Z,https://twitter.com/swanirbhar/status/1476938287549976585,https://pbs.twimg.com/profile_images/913599174309851136/e5b1Lgka.jpg,Academician/ Researcher/ Nerd/ foodaholic/ movie maniac/ self-proclaimed 24x7 social network celebrity and faculty of electronics and IT. SPOC SWAYAM and NPTEL,2009-11-12T16:09:00.000Z,"Tripura, India",312,276,6837,36275,https://twitter.com//swanirbhar,Swanirbhar Majumder,@swanirbhar,False,swanirbharmajumder.com/,,False
,,1466243888465661952,https://pbs.twimg.com/media/FFkk1LvVgAIO6OX.jpg,https://pbs.twimg.com/media/FFkk3ZeVgAkFdtm.jpg,https://pbs.twimg.com/media/FFkk5f5UUAUbeL0.jpg,https://pbs.twimg.com/media/FFkk9ZmVUAMqlyn.jpg,False,False,2,https://twitter.com/RGU1984,https://twitter.com/Saket_Kushwaha4,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,University,beautiful campus rajiv gandhi university,2021-12-02T03:12:00.000Z,https://twitter.com/ArnabGhosh_RGU/status/1466243888465661952,https://pbs.twimg.com/profile_images/1457058976550375424/q0bJKXoE.jpg,Assistant professor at Rajiv Gandhi University,2009-10-21T17:35:00.000Z,"Arunachal Pradesh, India",32,172,56,126,https://twitter.com//ArnabGhosh_RGU,"Dr. Arnab Ghosh, PhD",@ArnabGhosh_RGU,False,,,False
,,1410795819247222785,,,,,False,False,3,https://twitter.com/RGU1984,https://rgu.ac.in/wp-content/uploads/2021/07/phdseat21.pdf,https://twitter.com/PMOIndia,https://twitter.com/DrRPNishank,https://twitter.com/EduMinOfIndia,https://twitter.com/ugc_india,https://twitter.com/AIUIndia,https://twitter.com/ArunachalCMO,,,,,,,,,,,,,,,,,,,,,0,0,1,phd,declares pod vacant seat departmentsinstitutes offering pod programmes academic session 20212022,2021-07-02T03:01:00.000Z,https://twitter.com/RGU1984/status/1410795819247222785,https://pbs.twimg.com/profile_images/1554317249607249921/crbSdGAa.jpg,"Higher Educational Institution under Ministry of Education, Government of India |Vice Chancellor @Saket_Kushwaha4|",2015-06-18T08:15:00.000Z,"Rono Hills, Itanagar",2985,88,664,1127,https://twitter.com//RGU1984,Rajiv Gandhi University,@RGU1984,False,rgu.ac.in,,False
,,1427885426006630404,,,,,False,False,27,https://twitter.com/search?q=%23Taliban,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,School,upon time taliban restrictions womens activities schools girls rules menstruating women force marriage many weve evolved still evolving,2021-08-18T06:49:00.000Z,https://twitter.com/tayabagang1/status/1427885426006630404,https://pbs.twimg.com/profile_images/1662854536472694784/lGLIBBnw.jpg,"Wish if I could act like Niro, talk like Leo and look like Brad.",2016-01-31T14:32:00.000Z,"Seppa, NEFA, India",1687,1894,16807,2548,https://twitter.com//tayabagang1,Taya Naka Bagang,@tayabagang1,False,,,False
,,1440186964787949573,,,,,True,False,13,,,,,,,,,,,,,,,,,,,Bengia Ajum,,,,,,"The condition of the road between Nirjuli n Naharlagun is too pathetic. It was hoped that the recent visit of CM sir will bring much needed relief but it's same. In the name of 4 lane highway construction, PWD  n capital administration cannot wash off their responsibilities.",2021-09-21T04:18:00.000Z,https://twitter.com/Bengiaajum/status/1440168453545992197,@Bengiaajum,0,2,0,School,coronavirus pathetic precarious naharlagunnirjuli road made hesitant send daughter school top traffic neverending woe yesterday poor kid tired death travel,2021-09-21T05:31:00.000Z,https://twitter.com/tayabagang1/status/1440186964787949573,https://pbs.twimg.com/profile_images/1662854536472694784/lGLIBBnw.jpg,"Wish if I could act like Niro, talk like Leo and look like Brad.",2016-01-31T14:32:00.000Z,"Seppa, NEFA, India",1687,1894,16807,2548,https://twitter.com//tayabagang1,Taya Naka Bagang,@tayabagang1,False,,,False
,,1464593550553747463,https://pbs.twimg.com/media/FFNH5A5VIAUyuuj.jpg,https://pbs.twimg.com/media/FFNH9TPVUAMnmcC.jpg,https://pbs.twimg.com/media/FFNIBnKUcAUScdw.jpg,,False,False,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,University,university view point,2021-11-27T13:54:00.000Z,https://twitter.com/baruah_debanga/status/1464593550553747463,https://pbs.twimg.com/profile_images/1477989367981301765/snH9pkZX.jpg,"🙏 অসমীয়া 🙏
সপোনৰ ঠিকনা বিচাৰি 🚶
𝕰𝖛𝖊𝖗𝖞𝖙𝖍𝖎𝖓𝖌 𝖍𝖆𝖕𝖕𝖊𝖓𝖘 𝖋𝖔𝖗 𝖆 𝖗𝖊𝖆𝖘𝖔𝖓✨
𝒫𝑒𝓇𝓈𝓊𝒾𝓃𝑔 𝑀.𝒮𝒸 𝒾𝓃 𝒞𝒽𝑒𝓂𝒾𝓈𝓉𝓇𝓎📚",2019-12-11T12:41:00.000Z,"Jorhat, India",98,76,1787,317,https://twitter.com//baruah_debanga,𝐃𝐞𝐛𝐚𝐧𝐠𝐚 𝐁𝐚𝐫𝐮𝐚𝐡,@baruah_debanga,False,,,False
,,1464108202010689537,,,,,False,False,10,https://twitter.com/RGU1984,https://twitter.com/search?q=%23Preamble,https://twitter.com/search?q=%23IndianConstitution,https://twitter.com/search?q=%23SamvidhanDivas,https://twitter.com/PMOIndia,https://twitter.com/EduMinOfIndia,https://twitter.com/ugc_india,https://twitter.com/ArunachalCMO,,,,,,,,,,,,,,,,,,,,,0,0,2,University,joins nation read preamble indianconstitution occasion samvidhandivas administrative block university,2021-11-26T05:46:00.000Z,https://twitter.com/RGU1984/status/1464108202010689537,https://pbs.twimg.com/profile_images/1554317249607249921/crbSdGAa.jpg,"Higher Educational Institution under Ministry of Education, Government of India |Vice Chancellor @Saket_Kushwaha4|",2015-06-18T08:15:00.000Z,"Rono Hills, Itanagar",2985,88,664,1127,https://twitter.com//RGU1984,Rajiv Gandhi University,@RGU1984,False,rgu.ac.in,,False
,,1461647827428261888,https://pbs.twimg.com/media/FEjQ4OaVcAEDXT8.jpg,https://pbs.twimg.com/media/FEjQ6CHVICMofHK.jpg,https://pbs.twimg.com/media/FEjQ7zFVEAMLF9Y.jpg,,False,False,8,https://twitter.com/Ganga_d_kalai,https://twitter.com/YDuchok,https://twitter.com/AssumiSue,https://twitter.com/Horming12,https://twitter.com/parisow_somi,https://twitter.com/TagitAbraham,https://twitter.com/MenchaiK,,,,,,,,,,,,,,,,,,,,,,0,0,0,University,today celebration interaction barons fresher meet himalayan university itanagar,2021-11-19T10:49:00.000Z,https://twitter.com/MKhabisow/status/1461647827428261888,https://pbs.twimg.com/profile_images/1723126851617656832/0wLvR6W9.jpg,CHAIRMAN AKA (HRUSSO) IDOL,2021-06-01T01:06:00.000Z,"Arunachal Pradesh, India",112,152,1063,857,https://twitter.com//MKhabisow,Mahesh Khabisow,@MKhabisow,False,facebook.com/mahesh.khabisow,,False
,,1415654954186862595,,,,,False,False,0,https://twitter.com/HawaBagang,https://twitter.com/PremTallong,https://twitter.com/PemaKhanduBJP,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,School,school students received months stipend,2021-07-15T12:50:00.000Z,https://twitter.com/NikumTadar/status/1415654954186862595,https://pbs.twimg.com/profile_images/1399750546349641729/vg5TWkd1.jpg,"B.A (Political Science) at Dera Natung Govt College Ita.

Asst Education Secy (NNSPSU) 

from Kurung kumey District",2020-05-21T11:40:00.000Z,"Damsite, Naharlagun",17,45,64,19,https://twitter.com//NikumTadar,Tadar Nikum,@NikumTadar,False,,,False
,,1463175314339680266,https://pbs.twimg.com/media/FE4-Kq9XMAYM-5X.jpg,https://pbs.twimg.com/media/FE4-LSvXEAY3tAK.jpg,https://pbs.twimg.com/media/FE4-MFdXoBMpIgb.jpg,,False,False,8,https://twitter.com/search?q=%23ANSU,https://twitter.com/search?q=%23Himalayan_University,https://twitter.com/PremTaba,https://twitter.com/mejetaku,https://twitter.com/PremTallong,https://twitter.com/AjitSidisow,https://twitter.com/parisow_somi,https://twitter.com/YDuchok,https://twitter.com/Jarjum28,,,,,,,,,,,,,,,,,,,,0,2,0,University,today journey team anus hours band call young youth icons state headed conveyor gigi mania king himalayanuniversity students,2021-11-23T15:59:00.000Z,https://twitter.com/MKhabisow/status/1463175314339680266,https://pbs.twimg.com/profile_images/1723126851617656832/0wLvR6W9.jpg,CHAIRMAN AKA (HRUSSO) IDOL,2021-06-01T01:06:00.000Z,"Arunachal Pradesh, India",112,152,1063,857,https://twitter.com//MKhabisow,Mahesh Khabisow,@MKhabisow,False,facebook.com/mahesh.khabisow,,False
