avatar,fullname,id,images/0,images/1,images/2,images/3,isQuote,isRetweet,likes,links/0,links/1,links/2,links/3,links/4,links/5,links/6,links/7,links/8,links/9,links/10,links/11,links/12,quotedTweet/avatar,quotedTweet/fullname,quotedTweet/images/0,quotedTweet/images/1,quotedTweet/images/2,quotedTweet/images/3,quotedTweet/links/0,quotedTweet/links/1,quotedTweet/links/2,quotedTweet/links/3,quotedTweet/links/4,quotedTweet/links/5,quotedTweet/text,quotedTweet/timestamp,quotedTweet/url,quotedTweet/username,quotes,replies,retweets,searchQuery,text,timestamp,url,user/avatar,user/description,user/joinDate,user/location,user/totalFollowers,user/totalFollowing,user/totalLikes,user/totalTweets,user/url,user/userFullName,user/username,user/verified,user/website,username,verified
,,1475867756188692484,https://pbs.twimg.com/media/FHtV5KBVcAgnMkv.jpg,,,,False,False,0,https://twitter.com/GuwahatiPol,https://twitter.com/GhtyTrafficPol,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,School,car parked front little flower school hatigaon blocking road,2021-12-28T16:34:00.000Z,https://twitter.com/RonBandidos/status/1475867756188692484,https://pbs.twimg.com/profile_images/1554779823033069575/J73JlwSk.jpg,General Manager @brightsideNGO,2012-07-29T09:14:00.000Z,Guwahati,16,67,31,100,https://twitter.com//RonBandidos,Ron Hazarika,@RonBandidos,False,brightsideindia.org,,False
,,1476810545453944834,,,,,False,False,31,https://twitter.com/search?q=%23COVID19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,4,School,urged des gather information school inspectors respective districts total number eligible students administered est dose vaccine covid19 beforehand make necessary arrangements smooth running campaign,2021-12-31T07:00:00.000Z,https://twitter.com/keshab_mahanta/status/1476810545453944834,https://pbs.twimg.com/profile_images/1702226703433830400/mtto6TFe.jpg,"Minister Health & Family Welfare, Information Technology, Science and Technology . Government of Assam",2015-09-16T11:22:00.000Z,Kaliabor,99024,169,253,5022,https://twitter.com//keshab_mahanta,Keshab Mahanta,@keshab_mahanta,False,keshabmahanta.com/,,False
,,1476810127315386370,https://pbs.twimg.com/media/FH6u99aUcAE2QP2.jpg,https://pbs.twimg.com/media/FH6u-SFVIAM9jsA.jpg,https://pbs.twimg.com/media/FH6u-uDVcAEDdaJ.jpg,https://pbs.twimg.com/media/FH6u--jVUAga5z8.jpg,False,False,105,https://twitter.com/himantabiswa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,10,School,discussed detail des adds health education school inspectors joint director des 930 today regarding vaccine campaign educational institutions students teenagers years age january,2021-12-31T06:59:00.000Z,https://twitter.com/keshab_mahanta/status/1476810127315386370,https://pbs.twimg.com/profile_images/1702226703433830400/mtto6TFe.jpg,"Minister Health & Family Welfare, Information Technology, Science and Technology . Government of Assam",2015-09-16T11:22:00.000Z,Kaliabor,99024,169,253,5022,https://twitter.com//keshab_mahanta,Keshab Mahanta,@keshab_mahanta,False,keshabmahanta.com/,,False
,,1476100117589479424,,,,,True,False,1,,,,,,,,,,,,,,,Manoranjan Pegu,,,,,,,,,,,This is the ‘norm’ now. Remember who emboldens them. No other religion is safe.,2021-12-29T07:38:00.000Z,https://twitter.com/manoranjanpegu/status/1476095306139799552,@manoranjanpegu,0,0,0,School,venomous obsession keep minorities castereligion toes spread country faster covid19 wonder theres way back considering socialization already begun schools well,2021-12-29T07:57:00.000Z,https://twitter.com/daoriya_botor/status/1476100117589479424,https://pbs.twimg.com/profile_images/1728342655946612736/jvQ1r6ST.jpg,"In love with red: the colour, the club, the idea 🔴",2011-07-20T13:36:00.000Z,অসম,349,1064,50683,8886,https://twitter.com//daoriya_botor,aashirwad,@daoriya_botor,False,,,False
,,1476848154754498562,,,,,False,False,1,http://R.K.Memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,School,honoured get responsibility give vaccination school regards chairman memorial trust,2021-12-31T09:30:00.000Z,https://twitter.com/GokulBaishya/status/1476848154754498562,https://pbs.twimg.com/profile_images/1528574467810570240/k5voymkG.jpg,"Social activist, business man, entrepreneur",2011-06-27T09:32:00.000Z,"Guwahati, India",47,548,4262,408,https://twitter.com//GokulBaishya,GOKUL BAISHYA,@GokulBaishya,False,,,False
,,1476238000606498818,https://pbs.twimg.com/media/FHymm3zVUAIDDhT.jpg,,,,True,False,0,,,,,,,,,,,,,,,Himanta Biswa Sarma,,,,,https://twitter.com/ParmarthNiketan,https://twitter.com/PujyaSwamiji,,,,,Honoured to be a part of the divine Ma Ganga Arti at ⁦@ParmarthNiketan⁩ Rishikesh. Also feeling privileged to have the blessings of ⁦@PujyaSwamiji⁩ His Holiness Chidanand Saraswatiji,2021-12-29T17:00:00.000Z,https://twitter.com/himantabiswa/status/1476236795033493506,@himantabiswa,0,0,0,School,gurukul grammar senior secondary school block complete footpath road git nagar areal take necessary action sir arrogant law violator build multi storage building hills dangerous children students,2021-12-29T17:05:00.000Z,https://twitter.com/digantachoudh12/status/1476238000606498818,https://pbs.twimg.com/profile_images/1541745579893501953/EdHVvheL.jpg,"BJP V.P of Dispur Mandal obc,
V.P of Brihottor Gita Nagar Mathgharia Samannai Samity.
G. S NGO & Gharmara Satra, Adarani path cabine chowk pani jogan Samity,",2016-06-26T10:55:00.000Z,Guwahati,24,149,1057,841,https://twitter.com//digantachoudh12,diganta choudhury.,@digantachoudh12,False,,,True
,,1476484006577250305,,,,,False,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,School,high school did,2021-12-30T09:23:00.000Z,https://twitter.com/bishwa_design/status/1476484006577250305,https://pbs.twimg.com/profile_images/1616465053032804353/W9jv0MBY.jpg,"—
Bishwa Design Co.® | Brand Design & Illustration.",2020-03-23T08:53:00.000Z,India,530,159,8306,2458,https://twitter.com//bishwa_design,Bishwa Mandal,@bishwa_design,False,znap.link/bishwamandal,,False
,,1475772274523336704,,,,,False,False,2,https://twitter.com/search?q=%23edutwitter,https://twitter.com/search?q=%23Education,https://open.spotify.com/episode/5qLTiqj4Sp21DA72hq7sjI?si=6H-0DSEIQiq1OQ9Kz9dKQA,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,School,role student mere receiver talk importance extracurriculars corporal punishmentcontrast school college students tend remain sidelined systemedutwitter education,2021-12-28T10:15:00.000Z,https://twitter.com/gavish_raptor/status/1475772274523336704,https://pbs.twimg.com/profile_images/1449735736710758406/l78DPpSU.jpg,I have a Podcast besides College check it out- open.spotify.com/show/06W4eQ…,2021-10-17T13:51:00.000Z,"Hindu College,Delhi University",47,38,827,320,https://twitter.com//gavish_raptor,Gavish Raptor,@gavish_raptor,False,instagram.com/gavish_raptor/,,False
,,1475761025404129281,https://pbs.twimg.com/media/FHr00fkVEAcGKc3.jpg,https://pbs.twimg.com/media/FHr00t_VgAIfMYe.jpg,https://pbs.twimg.com/media/FHr009JVIAA9On3.jpg,https://pbs.twimg.com/media/FHr01NrVkAI5nN1.jpg,False,False,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,5,School,happy interact school students encouraged regular study disciplined way,2021-12-28T09:30:00.000Z,https://twitter.com/DrNumal/status/1475761025404129281,https://pbs.twimg.com/profile_images/1729778515845779456/n3GD0URI.jpg,Deputy Speaker of Assam Legislative Assembly,2016-10-06T17:35:00.000Z,Guwahati,8622,132,49711,3173,https://twitter.com//DrNumal,Dr Numal Momin MD.,@DrNumal,False,en.wikipedia.org/wiki/Numal_…,,False
,,1475338615869767682,https://pbs.twimg.com/media/FHl0pdyVgAApN8P.jpg,,,,False,False,14,https://www.instagram.com/p/CX9JIpJvKb4/?utm_medium=copy_link,https://twitter.com/thetruthin,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,School,happened modern english school happened institution years back misbehaviour maltreatment students others well many opening infamous principal read full story,2021-12-27T05:31:00.000Z,https://twitter.com/aboyobbhuyan/status/1475338615869767682,https://pbs.twimg.com/profile_images/1689548168411971584/v-eADJqQ.jpg,"Building @thetruthin. Observing, realising and learning. I am biased… towards the truth. NOT A JOURNALIST!",2011-09-20T11:31:00.000Z,"Guwahati, India",17903,131,3135,37766,https://twitter.com//aboyobbhuyan,aboyob bhuyan,@aboyobbhuyan,True,piped.video/channel/UCQOPyYE…,,True
