avatar,fullname,id,images/0,images/1,images/2,images/3,isQuote,isRetweet,likes,links/0,links/1,links/2,links/3,links/4,links/5,links/6,links/7,links/8,links/9,links/10,links/11,links/12,links/13,links/14,links/15,links/16,links/17,links/18,links/19,links/20,links/21,quotedTweet/avatar,quotedTweet/fullname,quotedTweet/images/0,quotedTweet/images/1,quotedTweet/images/2,quotedTweet/links/0,quotedTweet/links/1,quotedTweet/links/2,quotedTweet/links/3,quotedTweet/links/4,quotedTweet/links/5,quotedTweet/links/6,quotedTweet/links/7,quotedTweet/links/8,quotedTweet/links/9,quotedTweet/text,quotedTweet/timestamp,quotedTweet/url,quotedTweet/username,quotes,replies,retweets,searchQuery,text,timestamp,url,user/avatar,user/description,user/joinDate,user/location,user/totalFollowers,user/totalFollowing,user/totalLikes,user/totalTweets,user/url,user/userFullName,user/username,user/verified,user/website,username,verified
,,1379307851802243080,,,,,False,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,phd,powerpacked words,2021-04-06T05:39:00.000Z,https://twitter.com/The_ChandanKmr/status/1379307851802243080,https://pbs.twimg.com/profile_images/1676900463072120832/62qETKWn.jpg,धर्मों रक्षति रक्षितः । 🚩,2013-08-25T06:57:00.000Z,भारत,60,24,63318,4123,https://twitter.com//The_ChandanKmr,CHANDAN K,@The_ChandanKmr,False,,,False
,,1395461942995668995,,,,,False,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,phd,,2021-05-20T19:30:00.000Z,https://twitter.com/The_ChandanKmr/status/1395461942995668995,https://pbs.twimg.com/profile_images/1676900463072120832/62qETKWn.jpg,धर्मों रक्षति रक्षितः । 🚩,2013-08-25T06:57:00.000Z,भारत,60,24,63318,4123,https://twitter.com//The_ChandanKmr,CHANDAN K,@The_ChandanKmr,False,,,False
,,1406501170852483075,,,,,False,False,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,phd,pod,2021-06-20T06:36:00.000Z,https://twitter.com/d230b53ad3654ea/status/1406501170852483075,https://pbs.twimg.com/profile_images/455227952708321280/GyJNTzGD.jpeg,,2014-04-13T06:12:00.000Z,"Ranchi, India",785,224,171016,159231,https://twitter.com//d230b53ad3654ea,Sunil Kumar Verma,@d230b53ad3654ea,False,,,False
,,1395387629344935951,,,,,False,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,phd,india one smart person always giving comments every matter india person pod subject name mister rahul gandhi,2021-05-20T14:35:00.000Z,https://twitter.com/ffccsltdranchi/status/1395387629344935951,https://pbs.twimg.com/profile_images/740042243394789377/cBg5bMaf.jpg,,2012-11-15T08:08:00.000Z,"Ranchi, India",5,36,212,340,https://twitter.com//ffccsltdranchi,Kamlesh Kumar,@ffccsltdranchi,False,,,False
,,1453185371274153986,,,,,True,False,0,https://twitter.com/News18India,https://twitter.com/search?q=%23ShameOnNews18,,,,,,,,,,,,,,,,,,,,,,Alt News,,,,https://twitter.com/search?q=%23AltNewsFactCheck,https://twitter.com/ArchitMeta,https://www.altnews.in/news18-shares-video-of-giant-snake-caught-in-crane-as-jharkhand-video-not-from-india/?utm_source=website&utm_medium=social-media&utm_campaign=newpost,,,,,,,,"A video of a giant snake caught in a crane was shared by News18 across its social media accounts as an incident from a forest in Jharkhand. #AltNewsFactCheck found that the video is not from India. | @ArchitMeta 

altnews.in/news18-shares-vid…",2021-10-27T02:00:00.000Z,https://twitter.com/AltNews/status/1453179792254251017,@AltNews,0,0,0,phd,think received pod spreading fake news around country preinspection correctness news seems completed degree pandemic via online mode chapter field inspection missing shameonnews18,2021-10-27T02:22:00.000Z,https://twitter.com/ItsVikasH_RJ/status/1453185371274153986,https://pbs.twimg.com/profile_images/1712780844354736128/Pop_ztD-.jpg,"👨‍🔬 Research Associate @ #ChemSci |  💪Proud Indian & Hindu |  🇮🇳 Founder @ #SCOORE 🔜  |    Social Activist |  🧑‍🏫Teacher 

_धर्मो रक्षति रक्षित:_",2015-10-16T08:14:00.000Z,Bharat (भारत),113,397,5914,2609,https://twitter.com//ItsVikasH_RJ,Vikash Raj Kushwaha 🇮🇳,@ItsVikasH_RJ,False,,,True
,,1374665268333408256,,,,,False,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,phd,बरस वतन,2021-03-24T10:11:00.000Z,https://twitter.com/The_ChandanKmr/status/1374665268333408256,https://pbs.twimg.com/profile_images/1676900463072120832/62qETKWn.jpg,धर्मों रक्षति रक्षितः । 🚩,2013-08-25T06:57:00.000Z,भारत,60,24,63318,4123,https://twitter.com//The_ChandanKmr,CHANDAN K,@The_ChandanKmr,False,,,False
,,1372018561464426497,,,,,False,False,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,phd,true,2021-03-17T02:54:00.000Z,https://twitter.com/The_ChandanKmr/status/1372018561464426497,https://pbs.twimg.com/profile_images/1676900463072120832/62qETKWn.jpg,धर्मों रक्षति रक्षितः । 🚩,2013-08-25T06:57:00.000Z,भारत,60,24,63318,4123,https://twitter.com//The_ChandanKmr,CHANDAN K,@The_ChandanKmr,False,,,False
,,1384412613073784835,,,,,False,False,0,https://twitter.com/Faizanazizi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,phd,gimmick followers badman like ahi sir 357 hai gaaliyan ledge lenin masked puri hog wanna cheese sharon rate hair fusion par panther fence paise dear pod khalid hog kis unit again pod,2021-04-20T07:44:00.000Z,https://twitter.com/kinkarmishra/status/1384412613073784835,https://pbs.twimg.com/profile_images/1559437397741342721/zl0VvlWq.jpg,"Engineer and Learner
My blogs:-
1. KKMishra's Tutorials at
   kktutor.blogspot.com
2. Adhyatma at
   kinkars.blogspot.com
3. Puja flowers
& 2 others",2009-08-11T10:46:00.000Z,Ranchi,3492,3520,10965,6236,https://twitter.com//kinkarmishra,KRISHNA MISHRA,@kinkarmishra,False,google.co.in/url?sa=t&rct=j&…,,False
,,1368980247777996800,,,,,False,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,phd,shows money breakfast lunch dinner,2021-03-08T17:41:00.000Z,https://twitter.com/The_ChandanKmr/status/1368980247777996800,https://pbs.twimg.com/profile_images/1676900463072120832/62qETKWn.jpg,धर्मों रक्षति रक्षितः । 🚩,2013-08-25T06:57:00.000Z,भारत,60,24,63318,4123,https://twitter.com//The_ChandanKmr,CHANDAN K,@The_ChandanKmr,False,,,False
,,1370319644070879241,,,,,False,False,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,phd,अगर,2021-03-12T10:23:00.000Z,https://twitter.com/The_ChandanKmr/status/1370319644070879241,https://pbs.twimg.com/profile_images/1676900463072120832/62qETKWn.jpg,धर्मों रक्षति रक्षितः । 🚩,2013-08-25T06:57:00.000Z,भारत,60,24,63318,4123,https://twitter.com//The_ChandanKmr,CHANDAN K,@The_ChandanKmr,False,,,False
