"avatar","fullname","id","images/0","images/1","images/2","images/3","images/4","images/5","images/6","isQuote","isRetweet","likes","links/0","links/1","links/2","links/3","links/4","links/5","links/6","links/7","links/8","links/9","links/10","links/11","links/12","links/13","links/14","links/15","links/16","links/17","links/18","links/19","links/20","links/21","links/22","quotedTweet/avatar","quotedTweet/fullname","quotedTweet/images/0","quotedTweet/images/1","quotedTweet/images/2","quotedTweet/images/3","quotedTweet/links/0","quotedTweet/links/1","quotedTweet/links/2","quotedTweet/links/3","quotedTweet/links/4","quotedTweet/links/5","quotedTweet/links/6","quotedTweet/links/7","quotedTweet/text","quotedTweet/timestamp","quotedTweet/url","quotedTweet/username","quotes","replies","retweets","searchQuery","text","timestamp","url","user/avatar","user/description","user/joinDate","user/location","user/totalFollowers","user/totalFollowing","user/totalLikes","user/totalTweets","user/url","user/userFullName","user/username","user/verified","user/website","username","verified"
,,"1414865957051273222",,,,,,,,"false","false","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","1","0","Bachelors","FareedA is your  Rahul  khan has no  manly quality , still bachelor ,you can't agree for population control  your group hidden agenda   produce numbers of children to cross 50%mark and implement sharia laws and bring Khalifa raj , Christian govt understood well bring rule of law","2021-07-13T08:35:00.000Z","https://twitter.com/KmSharan3/status/1414865957051273222","https://pbs.twimg.com/profile_images/1426795850018160647/qV4xghIi.jpg",,"2020-03-21T13:46:00.000Z",,"35","37","38","1200","https://twitter.com//KmSharan3","KmSharan","@KmSharan3","false",,,"false"
,,"1435108672032571392",,,,,,,,"false","false","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","Bachelors","Unka dard bachelor se jyada hota h due to suppression of wife aisa suna h","2021-09-07T05:12:00.000Z","https://twitter.com/Manibhu43054381/status/1435108672032571392","https://pbs.twimg.com/profile_images/1363891710753792009/vvEc7yYd.jpg","UPSC aspirant ♥️Maine suna h mehnat se likhi takdir bhi badal jati h. Siksha oo sherni ka dudh h jo jitna piyega utna daharega 🌞💥🌞.","2021-02-22T16:41:00.000Z","New Delhi, India","41","5","1862","1582","https://twitter.com//Manibhu43054381","Manibhushan Ashokan Yadav","@Manibhu43054381","false","upsc.gov.in/website-policy",,"false"
,,"1431935201760800771",,,,,,,,"false","false","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","1","0","Undergraduate","Since 2010, a total of 10,323 school instructors, including graduate, post-graduate, and undergraduate teachers, have been inducted into the service in various phases. The Tripura high court dismissed them altogether in 2014, calling their recruitment process unconstitutional.","2021-08-29T11:02:00.000Z","https://twitter.com/JaanoJunction/status/1431935201760800771","https://pbs.twimg.com/profile_images/1554362469962829829/fCo8kIaW.jpg","Stay Curious, Stay Woke - become a Citizen Journalist with @JaanoJunction and voice your opinions. Start publishing.","2017-05-07T20:21:00.000Z",,"142","102","2649","11807","https://twitter.com//JaanoJunction","Jaano Junction","@JaanoJunction","false","jaanojunction.com",,"false"
,,"1399698100634066947",,,,,,,,"false","false","4","https://twitter.com/drajaykumar_ias","https://twitter.com/HQ_DG_NCC","https://twitter.com/NCCDte_Bih_Jhar","https://twitter.com/NCC_Bih_Jhar","https://twitter.com/nccwbskm","https://twitter.com/ncc_dte","https://twitter.com/rahulsi33517073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","1","Bachelors","@drajaykumar_ias  Sir , I am already a NCC cadet. Should I opt for new NCC course as Bachelor degree. What is the main difference in between the NCC  course going on and the new will be in college? @HQ_DG_NCC @NCCDte_Bih_Jhar @NCC_Bih_Jhar @nccwbskm @ncc_dte @rahulsi33517073","2021-06-01T12:03:00.000Z","https://twitter.com/Raushan7732/status/1399698100634066947","https://pbs.twimg.com/profile_images/1396284757043040256/v-7UFZfh.jpg","🇮🇳NATION FIRST 🇮🇳","2017-07-27T04:38:00.000Z","ekara hajipur","25","168","36","19","https://twitter.com//Raushan7732","Raushan singh","@Raushan7732","false",,,"false"
,,"1387521951749398528",,,,,,,,"false","false","0","https://twitter.com/search?q=%23CoronaPandemic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","Bachelors","Is there no concession or relief for students and bachelors like us living in PGs? It's too disheartening. #CoronaPandemic","2021-04-28T21:39:00.000Z","https://twitter.com/azharsays_/status/1387521951749398528","https://pbs.twimg.com/profile_images/1680927076013187073/tAD9lbgh.jpg","Mechanical Engineer, Currently working as a teacher. Love Cricket, Shayari, Indian🇮🇳. Welcome to my twitter handle🙏","2014-07-03T11:01:00.000Z","Bihar, India","47","350","2909","12983","https://twitter.com//azharsays_","𝙈𝙙 𝘼𝙯𝙝𝙖𝙧𝙪𝙙𝙙𝙞𝙣","@azharsays_","false","instagram.com/the_azharuddin…",,"false"
,,"1432665074217283585",,,,,,,,"false","false","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","1","0","Masters","My college from where I have completed my masters.","2021-08-31T11:22:00.000Z","https://twitter.com/SudhanshuSME/status/1432665074217283585","https://pbs.twimg.com/profile_images/1720667874778595329/p9nYahJI.jpg","Bihar State Awardee🥇(#BiharKalaSamman)/ Media Strategist/Social Media Expert/Communication Expert/Journalist✍️/ Melophile/ Percussionist/ Photographer📸","2020-03-24T13:36:00.000Z","Patna, India  ☎No Call😊","12461","237","10560","6026","https://twitter.com//SudhanshuSME","Sudhanshu Singh","@SudhanshuSME","false","facebook.com/profile.php?id=…",,"false"
,,"1381051580976295938",,,,,,,,"false","false","1","https://twitter.com/search?q=%23NewShot","https://twitter.com/search?q=%23trendingvideo","https://twitter.com/search?q=%23vickyraj1536","https://twitter.com/search?q=%23vickyraj1538","https://twitter.com/search?q=%23Vincenzo","https://twitter.com/search?q=%23SalveSpeaksToArnab","https://twitter.com/search?q=%23COVID19","https://twitter.com/search?q=%23PrithviShaw","https://twitter.com/search?q=%23ElClasico","https://twitter.com/search?q=%23tommytiernanshow","https://twitter.com/search?q=%23TheVoice","https://twitter.com/search?q=%23Daska","https://twitter.com/search?q=%23Masters","https://twitter.com/search?q=%23instagramreels","https://twitter.com/faizbaloch_07","https://twitter.com/Mr_Faisu_07","https://twitter.com/twitter","https://twitter.com/ABPNews","https://twitter.com/aajtak","https://twitter.com/indiaforums","https://twitter.com/Vickyraj1536","https://twitter.com/Gaurabjii","https://twitter.com/YouTubeIndia",,,,,,,,,,,,,,,,,,,"0","0","0","Masters","#NewShot #trendingvideo #vickyraj1536 #vickyraj1538 #Vincenzo #SalveSpeaksToArnab #COVID19 #PrithviShaw #ElClasico #tommytiernanshow #TheVoice #Daska #Masters #instagramreels @faizbaloch_07 @Mr_Faisu_07 @Twitter @ABPNews @aajtak @indiaforums @Vickyraj1536 @Gaurabjii @YouTubeIndia","2021-04-11T01:08:00.000Z","https://twitter.com/Vickyraj1536/status/1381051580976295938","https://pbs.twimg.com/profile_images/1587298034932539393/TMSP8Iv4.jpg","kaisa laga mera page","2021-04-03T18:56:00.000Z","Patna, India","32","14","308","79","https://twitter.com//Vickyraj1536","Vicky","@Vickyraj1536","false","vk310386.wixsite.com/mysite",,"false"
,,"1371801657999122439",,,,,,,,"false","false","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","2","0","Masters","Looks like Paid article or to cajole Political masters..

Condition of Transport of Delhi is better than many BJP ruled states..

But One who goes Blind in Spring..sees only greenery all around..

BJP rules States learn from Delhi to about Budget in Health and Education.","2021-03-16T12:32:00.000Z","https://twitter.com/SomeinSachin/status/1371801657999122439","https://pbs.twimg.com/profile_images/1241056627299454982/zGBs1PkK.jpg","An Ordinary man with Extraordinary Thought..Neither Bhakt nor Leftiest...","2013-01-06T02:17:00.000Z","Pune","31","69","2558","1250","https://twitter.com//SomeinSachin","The Sachin Sharma","@SomeinSachin","false",,,"false"
,,"1394548059573391360",,,,,,,,"false","false","5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","1","1","Masters","People who sold themselves just for 2bedroom flats in NCR should ask for it from there masters as masters have declared they will not use BJP vaccine!
How can slaves go against their masters & ask for it from a fascist?","2021-05-18T06:59:00.000Z","https://twitter.com/sanjeev105407/status/1394548059573391360","https://pbs.twimg.com/profile_images/1028847758864568321/uJJnrUon.jpg","a keen watcher of politics, society & economy post 1991.","2017-10-23T17:48:00.000Z","Patna, India","28","147","14038","9255","https://twitter.com//sanjeev105407","Sanjeev","@sanjeev105407","false",,,"false"
,,"1475720837697183745",,,,,,,,"false","false","1","https://www.chandravanshi.org/best-nursery-school-in-patna",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","School",".
Best Nursery school in Patna bihar

Top 10 Nursery school in Patna bihar

.
chandravanshi.org/best-nurse…","2021-12-28T06:50:00.000Z","https://twitter.com/MrsChandravansh/status/1475720837697183745","https://pbs.twimg.com/profile_images/1482807973269630976/01P2_X38.jpg","FB: facebook.com/MrsChandravansh","2018-12-09T18:10:00.000Z",,"622","9","1965","1897","https://twitter.com//MrsChandravansh","Deepa Chandravanshi","@MrsChandravansh","false","hindi.magadhatimes.com",,"false"
,,"1475893244642922500",,,,,,,,"false","false","0","https://www.instagram.com/p/CYCUZvkBOI09ldxa_lxyo_0RhR8844vpWkJUh00/?utm_medium=twitter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","School","जन्मदिन की शुभकामनाएं ऋषि ईश्वर करे कि तुम किसी क्रिप्टो करेंसी के मालिक बनो @ G.a.inter School, Hajipur (vaishali) Bihar 844101 instagram.com/p/CYCUZvkBOI09…","2021-12-28T18:15:00.000Z","https://twitter.com/Nilesh800000/status/1475893244642922500","https://pbs.twimg.com/profile_images/1467241701420896259/9mUzjgnd.jpg","State Secretary & Spokesperson NSUI
District President Panchayti Raj Cell
District President NSUI
Assembly President (Media & it)
District delegate DCC","2015-03-20T14:57:00.000Z","Patna,,,Bihar,,,India.","33","783","250","226","https://twitter.com//Nilesh800000","Nilesh Bhardwaj","@Nilesh800000","false",,,"false"
,,"1474994976861798403","https://pbs.twimg.com/media/FHg8GgSUYAMFjhk.jpg",,,,,,,"false","false","2","https://twitter.com/search?q=%23PeriodDrives","https://twitter.com/periodmovement","https://twitter.com/beingwoman4ever",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","0","0","School","#PeriodDrives 🔴
A glimpse from Period Drive & Awareness Campaign on 16th December at Govt. Girls High School Bankipur, Patna, Bihar, India
@periodmovement @beingwoman4ever","2021-12-26T06:46:00.000Z","https://twitter.com/PeriodIND/status/1474994976861798403","https://pbs.twimg.com/profile_images/1473330759767261191/8tNUrRXh.jpg","A chapter of @periodmovement","2021-11-12T14:54:00.000Z",,"3","4","7","5","https://twitter.com//PeriodIND","Period India","@PeriodIND","false",,,"false"
,,"1474390892886716422",,,,,,,,"false","false","58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","11","30","School","Tomorrow I shall be meeting our education minister in a personal event. I hope we get some confirmed news about joining of new appointed teachers and also starting of 7th phase of high schools.","2021-12-24T14:45:00.000Z","https://twitter.com/amitkvikram/status/1474390892886716422","https://pbs.twimg.com/profile_images/1426225224102465538/ApZ2X0bn.jpg","प्रदेश अध्यक्ष –
बिहार राज्य विद्यालय अध्यापक संघ | Neo-Educationist | Social Innovator-Enterpreneur","2009-09-10T09:24:00.000Z","Patna, India","7773","822","9118","2250","https://twitter.com//amitkvikram","Amit Vikram","@amitkvikram","true",,,"true"
,,"1474312786847014919","https://pbs.twimg.com/media/FHXPoBzVEAMyhF8.jpg","https://pbs.twimg.com/media/FHXPou2VcAMvo7E.jpg","https://pbs.twimg.com/media/FHXPpYKVIAIw0W3.jpg",,,,,"false","false","95","https://twitter.com/search?q=%23मेरी_संस्कृति_मेरा_गौरव",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3","9","84","School","In fact, by celebrating 25Dec Tulsi Pujan Diwas in schools, temples, societies, homes across the country, there will be communication of happiness, harmony, health, peace in the society ~ Sant Shri Asharamji Bapu
 #मेरी_संस्कृति_मेरा_गौरव","2021-12-24T09:35:00.000Z","https://twitter.com/ojaswinitish/status/1474312786847014919","https://pbs.twimg.com/profile_images/1268378151983255553/zA3XXaku.jpg","।। सिद्धे बिन्दौ महादेवि किं न सिद्धयति भूतले ।।","2013-12-28T15:12:00.000Z","Patna, India","4133","2550","54699","93494","https://twitter.com//ojaswinitish","Nitish Kumar","@ojaswinitish","false","ojaswinitish.blogspot.com",,"false"
,,"1473973072306733059",,,,,,,,"false","false","1","https://twitter.com/search?q=%23SonLove",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","School","Son has a home tutor too. So School, BYJU'S Classes & the tuition teacher. Hope these crucial years are utilised fruitfully by him. Thanks to his mom Ragini Sinha for the insistence to tutor. #SonLove","2021-12-23T11:05:00.000Z","https://twitter.com/BihariBritish/status/1473973072306733059","https://pbs.twimg.com/profile_images/1731342839244808192/rrZyRLFY.jpg","Cricket, Poetry, Photos, Podcasts & 'Raag'","2010-03-08T14:17:00.000Z","Patna, India","1928","4091","198872","258797","https://twitter.com//BihariBritish","Pritam Kumar Sinha","@BihariBritish","false",,,"false"
,,"1473838080608149510",,,,,,,,"false","false","5","https://www.instagram.com/p/CXzt0pSJ7IE/?utm_medium=twitter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","6","School","Just posted a photo @ Saint Michel School, Patna instagram.com/p/CXzt0pSJ7IE/…","2021-12-23T02:09:00.000Z","https://twitter.com/kamaali_dasi/status/1473838080608149510","https://pbs.twimg.com/profile_images/1700923199368863744/-XS_e31s.jpg","आंख्या म्ह आग देख🔥
हाथा म्ह माला देख📿
हाम भगत सा गुरुजीओ के😎
म्हारे ठाडे भाग देख😎
rohtak aali😎","2020-03-05T00:51:00.000Z","Satlok","3322","3992","31935","66786","https://twitter.com//kamaali_dasi","✯Chandani","@kamaali_dasi","false","Supremegod.org",,"false"
,,"1396387873872437252",,,,,,,,"false","false","1","https://twitter.com/search?q=%23waiveofffinalyearPGexams","https://twitter.com/search?q=%23WaiveOffMDMSDNBExams","https://twitter.com/PMOIndia","https://twitter.com/drharshvardhan","https://twitter.com/DrHVoffice","https://twitter.com/AshwiniKChoubey","https://twitter.com/NMC_IND","https://twitter.com/profplal","https://twitter.com/FordaIndia","https://twitter.com/IMAIndiaOrg","https://twitter.com/NMOBharat","https://twitter.com/MoHFW_INDIA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","1","Post Graduate","Kindly waive off final year MD/MS/PG Diploma /DNB postgraduate exams across India 
#waiveofffinalyearPGexams
#WaiveOffMDMSDNBExams 
@PMOIndia
@drharshvardhan
@DrHVoffice
@AshwiniKChoubey
@NMC_IND
@profplal
@FordaIndia
@IMAIndiaOrg
@NMOBharat
@MoHFW_INDIA
@RPNishank","2021-05-23T08:49:00.000Z","https://twitter.com/Anandrazz09/status/1396387873872437252","https://pbs.twimg.com/profile_images/1259322857643008000/pZnRREn3.jpg","MBBS
MD
PMCH","2011-04-24T06:20:00.000Z","Patna, India","39","123","191","331","https://twitter.com//Anandrazz09","Dr Anand Raj","@Anandrazz09","false",,,"false"
,,"1397084128378458121",,,,,,,,"false","false","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","1","0","Post Graduate","Statement made by him earlier rather all his statement is contrary to each other so it is an offence committed time to time by him. The ministry of Ayush made act and rule that only those is entitled to practice and be appointed as teachers who has postgraduate degree","2021-05-25T06:56:00.000Z","https://twitter.com/Shahnaw05809000/status/1397084128378458121","https://pbs.twimg.com/profile_images/1101150175949664256/cd_1XMFs.jpg","Advocate","2019-02-28T15:58:00.000Z",,"14","121","376","963","https://twitter.com//Shahnaw05809000","Shahnawaz Ali","@Shahnaw05809000","false",,,"false"
,,"1471581132617519106",,,,,,,,"false","false","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","Post Graduate","""MASTER"" 
की तीसरी डिग्री भी मिल ही गयी.
1. Master in Mass Communication {Dec. 2021}
2. Post Graduate Diploma  in Journalism & Mass Communication {Aug. 2002}
3. Master in Public Administration {Apr. 1997}","2021-12-16T20:40:00.000Z","https://twitter.com/indrabhushan77/status/1471581132617519106","https://pbs.twimg.com/profile_images/1712913823450152961/VdOHe0Xb.jpg","Master's  
MassCommunication21
PublicAdministration97","2013-04-08T13:01:00.000Z","Patna, India","1631","151","235","626","https://twitter.com//indrabhushan77","Indra Bhushan Kumar","@indrabhushan77","false",,,"false"
,,"1473668402933747714","https://pbs.twimg.com/media/FHOFmjDVgAA1vxC.jpg",,,,,,,"false","false","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","0","1","School","“Counterfeiting and smuggling cause an economic loss which can be addressed at the grass root level such as school children and MSMEs by educating and encouraging them to keep illicit trade at bay.”  Monica Nayyar Patnaik, Chairperson,FICCI Odisha State Council & MD, Sambad Group","2021-12-22T14:55:00.000Z","https://twitter.com/Cascadeglobal/status/1473668402933747714","https://pbs.twimg.com/profile_images/1702228120391262208/PLeXgu8Z.jpg","FICCI Committee Against Smuggling and Counterfeiting Activities Destroying Economy.","2013-09-18T05:41:00.000Z","New Delhi","21564","4088","1917","9138","https://twitter.com//Cascadeglobal","FICCI CASCADE 🇮🇳","@Cascadeglobal","true","ficcicascade.in",,"true"
,,"1472410081207541760","https://pbs.twimg.com/media/FG8NJwKWYAY1sYw.jpg",,,,,,,"false","false","3","https://twitter.com/search?q=%23Patna","https://twitter.com/search?q=%23gurudwara","https://twitter.com/search?q=%23patna_sahib",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","School","#Patna 
#gurudwara 
#patna_sahib 🙏🍁
A local school trip","2021-12-19T03:34:00.000Z","https://twitter.com/Prem7484/status/1472410081207541760","https://pbs.twimg.com/profile_images/1623972644273143809/3l0ELn75.jpg","I'm here for respect, not for attention.

Self-starter.

Sleepy boy with a busy life.","2021-11-06T13:18:00.000Z","Bihar, India","3","83","664","24","https://twitter.com//Prem7484","Prem Singhaniya","@Prem7484","false",,,"false"
