"avatar","fullname","id","images/0","images/1","images/2","images/3","isQuote","isRetweet","likes","links/0","links/1","links/2","links/3","links/4","links/5","links/6","links/7","links/8","links/9","links/10","links/11","links/12","links/13","links/14","links/15","links/16","links/17","links/18","links/19","quotedTweet/avatar","quotedTweet/fullname","quotedTweet/images/0","quotedTweet/images/1","quotedTweet/images/2","quotedTweet/images/3","quotedTweet/links/0","quotedTweet/links/1","quotedTweet/links/2","quotedTweet/links/3","quotedTweet/links/4","quotedTweet/links/5","quotedTweet/links/6","quotedTweet/links/7","quotedTweet/text","quotedTweet/timestamp","quotedTweet/url","quotedTweet/username","quotes","replies","retweets","searchQuery","text","timestamp","url","user/avatar","user/description","user/joinDate","user/location","user/totalFollowers","user/totalFollowing","user/totalLikes","user/totalTweets","user/url","user/userFullName","user/username","user/verified","user/website","username","verified"
,,"1414671001514766336",,,,,"false","false","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","phd","Do PhD.","2021-07-12T19:40:00.000Z","https://twitter.com/TheCounseHealer/status/1414671001514766336","https://pbs.twimg.com/profile_images/1720872377939312640/exxkZEr4.jpg","Your Mental Health Matters ❤️
🍀 Mental health Advocate
🎓Psychology Teacher
👨‍💼 Mindset Coach | Counselor

Follow me on IG
➡️ @mentalhealth.mentor","2020-06-28T16:37:00.000Z","Shillong, India","39","129","308","374","https://twitter.com//TheCounseHealer","Mr Dae","@TheCounseHealer","false","facebook.com/profile.php?id=…",,"false"
,,"1387835125707132930",,,,,"false","false","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","1","0","phd","Guys, guide me please! Those who know... IIM Kozhikode or IIM Amritsar for PhD?","2021-04-29T18:24:00.000Z","https://twitter.com/DevRoye/status/1387835125707132930","https://pbs.twimg.com/profile_images/1446722546628325377/U-jYKHjL.jpg","Male, interested  in  all beautiful  things in  life!","2011-05-22T08:08:00.000Z",,"65","214","6527","3396","https://twitter.com//DevRoye","D'roy","@DevRoye","false",,,"false"
,,"1302932385445548037",,,,,"false","false","2","https://twitter.com/search?q=%23UnitedForSSRJustice",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","phd","He's PHd on lie, he deserves world best liar award. 
#UnitedForSSRJustice","2020-09-07T11:31:00.000Z","https://twitter.com/Khyriemdaya/status/1302932385445548037","https://pbs.twimg.com/profile_images/1380913674806833156/G98XGzqx.jpg","Not interest in any politics.                                           No caste no religion humanity is priority God is one.","2016-09-13T14:21:00.000Z","Shillong","141","72","8706","1595","https://twitter.com//Khyriemdaya","Diaris Khyriem","@Khyriemdaya","false",,,"false"
,,"1196727185475653634","https://pbs.twimg.com/media/EJucSYaUwAIErCx.jpg",,,,"true","false","0",,,,,,,,,,,,,,,,,,,,,"","Siddharth","https://pbs.twimg.com/media/EJucSYaUwAIErCx.jpg",,,,,,,,,,,,,"2019-11-19T09:28:00.000Z","https://twitter.com/DearthOfSid/status/1196722025219280897","@DearthOfSid","0","0","0","Post Graduate","The question is.. why should the Post graduate and Doctoral courses be Subsidized...Too hard to comprehend is it ?","2019-11-19T09:49:00.000Z","https://twitter.com/msmonks19/status/1196727185475653634","https://pbs.twimg.com/profile_images/1392168313615110146/l7X3_M-y.jpg","politically","2015-10-30T20:11:00.000Z",,"37","102","2641","6891","https://twitter.com//msmonks19","M","@msmonks19","false",,,"true"
,,"1278784526131425280",,,,,"false","false","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","phd","Sentimental populism is still the fascination of the school/college dropouts or the PhD scholars from WhatsApp University!","2020-07-02T20:16:00.000Z","https://twitter.com/PhidaliaToi/status/1278784526131425280","https://pbs.twimg.com/profile_images/587122263016636417/FHHtQ3Zv.jpg","Don't Hate anybody, hatred which comes from you, in the long run come back to you. If you love, love will come back to you completing the circle.    Vivekananda","2015-03-23T06:01:00.000Z","North East.","938","672","6515","12166","https://twitter.com//PhidaliaToi","Phidalia Toi","@PhidaliaToi","false",,,"false"
,,"1003903185918967808",,,,,"false","false","24","https://twitter.com/shishirkb","https://twitter.com/IIMSpgpex",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","1","3","Post Graduate","Students of PGP(17-19) after successfully completing their internships in various corporates have joined IIM Shillong on 4th June 2018 and registered for Term IV of Postgraduate Program. We wish them all best. @shishirkb @IIMSpgpex","2018-06-05T07:35:00.000Z","https://twitter.com/IIMShillong/status/1003903185918967808","https://pbs.twimg.com/profile_images/1692076140981301248/8ZetSmUi.jpg","The Official Twitter Account of Indian Institute of Management Shillong, facebook.com/IIM.Shillong,
Retweets (RTs) are not endorsements","2009-08-07T06:33:00.000Z","Shillong, India","58738","210","1017","4423","https://twitter.com//IIMShillong","IIM Shillong","@IIMShillong","true","iimshillong.ac.in",,"true"
,,"1139085716942725125",,,,,"false","false","0","https://www.instagram.com/p/BypKEA5lF_t/?igshid=8fgbxmqqpdob",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","phd","Prida is finally a PhD @ Shillong instagram.com/p/BypKEA5lF_t/…","2019-06-13T08:22:00.000Z","https://twitter.com/Hangsing/status/1139085716942725125","https://pbs.twimg.com/profile_images/1678733793052729344/KwSZFRFU.jpg","Professor,
NORTH-EASTERN HILL UNIVERSITY, Shillong, Meghalaya, INDIA","2009-02-13T11:10:00.000Z","Shillong","611","272","411","276","https://twitter.com//Hangsing","Roel Hangsing","@Hangsing","false","nehu.ac.in",,"false"
,,"1459385376913563651",,,,,"false","false","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","Masters","A","2021-11-13T04:59:00.000Z","https://twitter.com/Lakyr/status/1459385376913563651","https://pbs.twimg.com/profile_images/1679916995222081536/08LXituL.jpg","🤡🤡🤡","2011-11-15T06:00:00.000Z","Shillong, Meghalaya","15","55","348","99","https://twitter.com//Lakyr","Lakyr Khonglam","@Lakyr","false",,,"false"
,,"1373262982512177157",,,,,"false","false","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","0","0","Masters","I was just fucking laughing at my colleague today. For someone who has a masters in Social work is bragging that the evaluation of the answer scripts of Technical Associate for the Dept of Food Processing will be done by her😂
Wtf!! One should learn how to lie and brag ya.Heights","2021-03-20T13:19:00.000Z","https://twitter.com/emidaoshylla/status/1373262982512177157","https://pbs.twimg.com/profile_images/1654147013192318977/esVyJlNz.jpg","I’m always NEUTRAL","2015-10-03T04:44:00.000Z","India","1108","546","3463","11838","https://twitter.com//emidaoshylla","Emidao Shylla","@emidaoshylla","false",,,"false"
,,"1467836164690178048","https://pbs.twimg.com/media/FF7NMzPUcAAX9Qg.jpg","https://pbs.twimg.com/media/FF7NNFOVkAAw57S.jpg","https://pbs.twimg.com/media/FF7NNT0UcAQ9jSh.jpg","https://pbs.twimg.com/media/FF7NNjNUcAUK1XY.jpg","false","false","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","College","ABVP, Shillong had organised a programme to commemorate the 65th Death Anniversary of Dr B.R. Ambedkar. It was organised in three different institution of Shillong- Buddha Bhanu Saraswati College, Lady keane Hgh sec shl and Buddha Vidya Niketan Sec Shl of Shillong.","2021-12-06T12:39:00.000Z","https://twitter.com/abvpmeghalaya/status/1467836164690178048","https://pbs.twimg.com/profile_images/1377192286031806471/vmPq-EdQ.jpg","The World's Largest Student Organisation, Nation First","2019-11-24T07:03:00.000Z","Meghalaya, India","1207","33","1478","1884","https://twitter.com//abvpmeghalaya","ABVP Meghalaya","@abvpmeghalaya","false","abvp.org",,"false"
,,"1465166614802976774",,,,,"false","false","1","https://www.instagram.com/p/CW2Gf6gJtp6/?utm_medium=twitter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","College","Just posted a photo @ Sonapur,province College and Teacher Training College instagram.com/p/CW2Gf6gJtp6/…","2021-11-29T03:51:00.000Z","https://twitter.com/kalita_himasri/status/1465166614802976774","https://pbs.twimg.com/profile_images/1648934418168569856/rXVkx4PL.jpg","❤️ @iamsrk In A Positive Way... IfYouTreatMeLikeAToyThenIWillBecomeAnAnnabelle...
Follow Me On Instagram @illiyana_kasyap_
MathEmatIciaN","2016-04-15T10:11:00.000Z",,"94","25","46675","198","https://twitter.com//kalita_himasri","Himasri kalita","@kalita_himasri","false",,,"false"
,,"1296503820868976640",,,,,"false","false","2","https://twitter.com/search?q=%23WelcomeCBI4SSR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","Masters","It's disgusting to discuss about so called police officer of Mumbai. While they are just puppets playing in the hands of powerful masters. The crime scene was treated and a birthday party hall. What else can we expect from them?
#WelcomeCBI4SSR","2020-08-20T17:46:00.000Z","https://twitter.com/Khyriemdaya/status/1296503820868976640","https://pbs.twimg.com/profile_images/1380913674806833156/G98XGzqx.jpg","Not interest in any politics.                                           No caste no religion humanity is priority God is one.","2016-09-13T14:21:00.000Z","Shillong","141","72","8706","1595","https://twitter.com//Khyriemdaya","Diaris Khyriem","@Khyriemdaya","false",,,"false"
,,"1464594580632911872",,,,,"false","false","3","https://www.instagram.com/p/CWyCXXHpbst/?utm_medium=twitter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","College","❤️❤️❤️❤️ @ Sonapur,province College and Teacher Training College instagram.com/p/CWyCXXHpbst/…","2021-11-27T13:58:00.000Z","https://twitter.com/kalita_himasri/status/1464594580632911872","https://pbs.twimg.com/profile_images/1648934418168569856/rXVkx4PL.jpg","❤️ @iamsrk In A Positive Way... IfYouTreatMeLikeAToyThenIWillBecomeAnAnnabelle...
Follow Me On Instagram @illiyana_kasyap_
MathEmatIciaN","2016-04-15T10:11:00.000Z",,"94","25","46675","198","https://twitter.com//kalita_himasri","Himasri kalita","@kalita_himasri","false",,,"false"
,,"1294246006695948288",,,,,"false","false","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","Masters","Right.People are powerful in democracy I'm just waiting to see this , I hope I will.Ministers proclaim  themselvelves masters.This is not the case now!","2020-08-14T12:14:00.000Z","https://twitter.com/Pradip57464986/status/1294246006695948288","https://pbs.twimg.com/profile_images/1124971728633860097/Er4V2a7z.jpg","teacher of Bhagavad Gita, Upanishad, Yoga trainer, Wellness Centre, Shillong.","2019-05-05T09:38:00.000Z","shillong","5","71","214","94","https://twitter.com//Pradip57464986","Pradip Dutta, Faculty Art of Living , Shillong,","@Pradip57464986","false",,,"false"
